0.01	1
0.02	0.726326
0.03	0.573434
0.04	0.470127
0.05	0.394753
0.06	0.337079
0.07	0.291535
0.08	0.254769
0.09	0.224516
0.1	0.199292
0.11	0.178025
0.12	0.159834
0.13	0.144134
0.14	0.13052
0.15	0.118618
0.16	0.108114
0.17	0.0988407
0.18	0.0905872
0.19	0.0832007
0.2	0.0765673
0.21	0.070577
0.22	0.0651792
0.23	0.0602678
0.24	0.0557986
0.25	0.0517303
0.26	0.0480044
0.27	0.0445858
0.28	0.0414464
0.29	0.0385578
0.3	0.0358949
0.31	0.0334339
0.32	0.0311563
0.33	0.0290469
0.34	0.0270916
0.35	0.0252753
0.36	0.0235848
0.37	0.0220117
0.38	0.0205474
0.39	0.0191825
0.4	0.0179077
0.41	0.0167148
0.42	0.0155998
0.43	0.014558
0.44	0.0135828
0.45	0.0126685
0.46	0.0118118
0.47	0.0110091
0.48	0.0102565
0.49	0.00955025
0.5	0.00888763
0.51	0.00826581
0.52	0.00768223
0.53	0.00713417
0.54	0.00661933
0.55	0.00613593
0.56	0.00568205
0.57	0.00525613
0.58	0.0048565
0.59	0.00448157
0.6	0.00412987
0.61	0.00379985
0.62	0.00349035
0.63	0.00320042
0.64	0.002929
0.65	0.00267519
0.66	0.00243808
0.67	0.00221669
0.68	0.00201028
0.69	0.00181812
0.7	0.00163939
0.71	0.00147348
0.72	0.00131978
0.73	0.00117761
0.74	0.00104642
0.75	0.000925712
0.76	0.000814957
0.77	0.000713617
0.78	0.000621253
0.79	0.000537401
0.8	0.000461561
0.81	0.00039329
0.82	0.000332201
0.83	0.000277871
0.84	0.000229854
0.85	0.000187762
0.86	0.000151215
0.87	0.000119802
0.88	9.30982e-05
0.89	7.07384e-05
0.9	5.23597e-05
0.91	3.75758e-05
0.92	2.59809e-05
0.93	1.71744e-05
0.94	1.07467e-05
0.95	6.26655e-06
0.96	3.28588e-06
0.97	1.44303e-06
0.98	4.68201e-07
0.99	8.38318e-08
1	0
