0.01  1.
0.02  0.737975
0.03  0.595244
0.04  0.498669
0.05  0.426543
0.06  0.370067
0.07  0.32423
0.08  0.286234
0.09  0.254556
0.1   0.227229
0.11  0.204017
0.12  0.183506
0.13  0.165916
0.14  0.150387
0.15  0.13663
0.16  0.124398
0.17  0.113491
0.18  0.10373
0.19  0.0949677
0.2   0.0870755
0.21  0.0799408
0.22  0.0734777
0.23  0.0676144
0.24  0.0622741
0.25  0.057403
0.26  0.0529556
0.27  0.0488778
0.28  0.0451435
0.29  0.0417076
0.3   0.0385507
0.31  0.0356375
0.32  0.0329539
0.33  0.0304703
0.34  0.0281779
0.35  0.0260507
0.36  0.0240831
0.37  0.0222554
0.38  0.0205592
0.39  0.0189851
0.4   0.0175179
0.41  0.0161563
0.42  0.0148884
0.43  0.0137059
0.44  0.0126076
0.45  0.0115831
0.46  0.0106276
0.47  0.0097398
0.48  0.00891203
0.49  0.00813973
0.5   0.00742314
0.51  0.00675653
0.52  0.00613457
0.53  0.00555832
0.54  0.00502496
0.55  0.00453045
0.56  0.00407245
0.57  0.0036494
0.58  0.00325937
0.59  0.00290062
0.6   0.00257144
0.61  0.00227015
0.62  0.00199524
0.63  0.00174524
0.64  0.00151878
0.65  0.00131439
0.66  0.00113075
0.67  0.000966645
0.68  0.000820717
0.69  0.000691682
0.7   0.000578411
0.71  0.000479598
0.72  0.000394049
0.73  0.000320698
0.74  0.000258249
0.75  0.000205689
0.76  0.000161922
0.77  0.000125834
0.78  0.000096567
0.79  0.0000730292
0.8   0.0000544956
0.81  0.0000400191
0.82  0.0000290189
0.83  0.0000207333
0.84  0.0000146204
0.85  0.0000101976
0.86  0.00000705386
0.87  0.00000485513
0.88  0.00000333818
0.89  0.00000229893
0.9   0.00000158905
0.91  0.0000011004
0.92  0.000000760844
0.93  0.000000520826
0.94  0.000000350084
0.95  0.000000226458
0.96  0.000000139964
0.97  0.0000000757804
0.98  0.0000000363734
0.99  0.0000000000000
1.00  0.0000000000000
